ADDRESS_ID,CUSTOMER_ID,ADDRESS_TYPE,STREET_ADDRESS,CITY,PROVINCE,POSTAL_CODE,COUNTRY,IS_DEFAULT
1,1,Primary,434 Park Road,Chaman,Balochistan,80256,Pakistan,True
2,2,Primary,House 222 Industrial Area,Quetta,Balochistan,28926,Pakistan,True
3,2,Secondary,160 Park Road,Muzaffarabad,Azad Kashmir,43086,Pakistan,False
4,3,Primary,House 170 Main Boulevard,Charsadda,Khyber Pakhtunkhwa,54723,Pakistan,True
5,4,Primary,House 479 Main Boulevard,Muzaffarabad,Azad Kashmir,98237,Pakistan,True
6,5,Primary,Block E Bahria Town,Karachi,Sindh,44919,Pakistan,True
7,6,Primary,407 Defence Housing,Muzaffarabad,Azad Kashmir,31349,Pakistan,True
8,7,Primary,House 484 Clifton,Hyderabad,Sindh,36698,Pakistan,True
9,8,Primary,Block A Saddar,Astore,Gilgit-Baltistan,43020,Pakistan,True
10,8,Secondary,House 347 University Road,Gwadar,Balochistan,78395,Pakistan,False
11,9,Primary,House 58 Mall Road,Sialkot,Punjab,39281,Pakistan,True
12,10,Primary,52 University Road,Khuzdar,Balochistan,14862,Pakistan,True
13,11,Primary,353 Cantt,Skardu,Gilgit-Baltistan,13020,Pakistan,True
14,12,Primary,603 Clifton,Mirpur,Azad Kashmir,74497,Pakistan,True
15,12,Secondary,317 Defence Housing,Faisalabad,Punjab,68157,Pakistan,False
16,13,Primary,House 409 Johar Town,Nawabshah,Sindh,10438,Pakistan,True
17,14,Primary,Block C Defence Housing,Chilas,Gilgit-Baltistan,96243,Pakistan,True
18,15,Primary,House 856 Johar Town,Muzaffarabad,Azad Kashmir,92046,Pakistan,True
19,16,Primary,Block E Model Town,Zhob,Balochistan,77322,Pakistan,True
20,17,Primary,Block C Cantt,Hyderabad,Sindh,81564,Pakistan,True
21,18,Primary,Block C Main Boulevard,Nowshera,Khyber Pakhtunkhwa,28774,Pakistan,True
22,19,Primary,114 Clifton,Faisalabad,Punjab,67049,Pakistan,True
23,20,Primary,552 College Road,Peshawar,Khyber Pakhtunkhwa,99677,Pakistan,True
24,21,Primary,House 93 University Road,Nawabshah,Sindh,58353,Pakistan,True
25,21,Secondary,House 574 Main Boulevard,Chilas,Gilgit-Baltistan,78982,Pakistan,False
26,22,Primary,468 Defence Housing,Karachi,Sindh,52683,Pakistan,True
27,22,Secondary,Block D Industrial Area,Mirpur Khas,Sindh,20218,Pakistan,False
28,23,Primary,House 883 Park Road,Chaman,Balochistan,62162,Pakistan,True
29,24,Primary,Block D Saddar,Gilgit,Gilgit-Baltistan,62128,Pakistan,True
30,25,Primary,Block E Bahria Town,Turbat,Balochistan,23776,Pakistan,True
31,26,Primary,422 Bahria Town,Sargodha,Punjab,58028,Pakistan,True
32,27,Primary,Block A College Road,Hyderabad,Sindh,67048,Pakistan,True
33,28,Primary,House 495 Johar Town,Hyderabad,Sindh,23704,Pakistan,True
34,29,Primary,135 Johar Town,Gwadar,Balochistan,39992,Pakistan,True
35,30,Primary,Block D Johar Town,Faisalabad,Punjab,63220,Pakistan,True
36,31,Primary,House 304 Saddar,Mirpur Khas,Sindh,96141,Pakistan,True
37,32,Primary,194 Cantt,Lahore,Punjab,97090,Pakistan,True
38,33,Primary,House 847 Industrial Area,Quetta,Balochistan,15918,Pakistan,True
39,34,Primary,370 Model Town,Mardan,Khyber Pakhtunkhwa,79460,Pakistan,True
40,35,Primary,311 Johar Town,Zhob,Balochistan,37580,Pakistan,True
41,36,Primary,House 99 Industrial Area,Nowshera,Khyber Pakhtunkhwa,88163,Pakistan,True
42,37,Primary,House 528 Defence Housing,Nawabshah,Sindh,81393,Pakistan,True
43,38,Primary,House 384 College Road,Rawalakot,Azad Kashmir,11307,Pakistan,True
44,38,Secondary,House 500 Saddar,Chaman,Balochistan,85362,Pakistan,False
45,39,Primary,Block A University Road,Zhob,Balochistan,90761,Pakistan,True
46,40,Primary,Block C Industrial Area,Skardu,Gilgit-Baltistan,59213,Pakistan,True
47,41,Primary,Block E Main Boulevard,Zhob,Balochistan,68642,Pakistan,True
48,42,Primary,House 803 Main Boulevard,Rawalpindi,Punjab,64072,Pakistan,True
49,42,Secondary,Block C DHA,Muzaffarabad,Azad Kashmir,70494,Pakistan,False
50,43,Primary,House 269 Model Town,Swat,Khyber Pakhtunkhwa,74219,Pakistan,True
51,44,Primary,745 Gulberg,Rawalakot,Azad Kashmir,97510,Pakistan,True
52,45,Primary,Block B Bahria Town,Faisalabad,Punjab,14324,Pakistan,True
53,45,Secondary,House 155 Johar Town,Multan,Punjab,63480,Pakistan,False
54,46,Primary,House 530 Defence Housing,Muzaffarabad,Azad Kashmir,12944,Pakistan,True
55,46,Secondary,48 DHA,Hyderabad,Sindh,54061,Pakistan,False
56,47,Primary,688 University Road,Bahawalpur,Punjab,96869,Pakistan,True
57,47,Secondary,House 609 Gulberg,Kotli,Azad Kashmir,84228,Pakistan,False
58,48,Primary,House 282 College Road,Karachi,Sindh,61954,Pakistan,True
59,49,Primary,Block C College Road,Peshawar,Khyber Pakhtunkhwa,17872,Pakistan,True
60,50,Primary,House 343 Johar Town,Rawalakot,Azad Kashmir,25843,Pakistan,True
61,50,Secondary,House 979 Bahria Town,Swat,Khyber Pakhtunkhwa,14162,Pakistan,False
62,51,Primary,House 288 DHA,Larkana,Sindh,79912,Pakistan,True
63,52,Primary,Block D Model Town,Lahore,Punjab,50851,Pakistan,True
64,53,Primary,House 812 Johar Town,Gujranwala,Punjab,52840,Pakistan,True
65,53,Secondary,House 834 Defence Housing,Mardan,Khyber Pakhtunkhwa,35206,Pakistan,False
66,54,Primary,51 Defence Housing,Mirpur Khas,Sindh,60953,Pakistan,True
67,55,Primary,House 279 Johar Town,Chilas,Gilgit-Baltistan,43797,Pakistan,True
68,56,Primary,419 Mall Road,Hyderabad,Sindh,42669,Pakistan,True
69,57,Primary,Block E Main Boulevard,Lahore,Punjab,54161,Pakistan,True
70,57,Secondary,Block D Gulberg,Larkana,Sindh,58295,Pakistan,False
71,58,Primary,486 Industrial Area,Gwadar,Balochistan,60742,Pakistan,True
72,58,Secondary,House 676 College Road,Turbat,Balochistan,86289,Pakistan,False
