CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,DATE_OF_BIRTH,GENDER,MARITAL_STATUS,EDUCATION_LEVEL,ANNUAL_INCOME,CUSTOMER_SEGMENT,REGISTRATION_DATE,IS_ACTIVE
1,Aisha,Rizvi,aisha.rizvi@gmail.com,+92-311-9258686,1983-09-23,F,Single,Other,1238859,Regular,2023-02-28,True
2,Nida,Shah,nida.shah@gmail.com,+92-300-3779214,1973-07-04,F,Single,PhD,687525,Occasional,2024-12-30,True
3,Usman,Jafri,usman.jafri@outlook.com,+92-300-9788922,1948-12-28,Other,Widowed,Higher Secondary,1147427,Regular,2022-10-12,False
4,Rabia,Rizvi,rabia.rizvi@outlook.com,+92-301-1534703,1952-05-16,Other,Widowed,Higher Secondary,1121838,Regular,2022-03-30,False
5,Hania,Rizwan,hania.rizwan@gmail.com,+92-339-6063710,1955-10-08,M,Widowed,Primary,1428917,Regular,2022-06-30,False
6,Noor,Ahmed,noor.ahmed@yahoo.com,+92-305-3674885,1963-09-21,M,Single,Master,281850,Occasional,2020-11-30,True
7,Haris,Farooq,haris.farooq@outlook.com,+92-336-3714999,1994-06-19,F,Married,Secondary,237121,Occasional,2023-06-16,True
8,Sumaya,Iqbal,sumaya.iqbal@gmail.com,+92-322-1061319,1962-12-25,Other,Divorced,PhD,3742868,Premium,2022-04-12,True
9,Umar,Khan,umar.khan@outlook.com,+92-310-8781851,1950-03-26,M,Single,Higher Secondary,836340,Regular,2021-06-30,False
10,Hania,Naqvi,hania.naqvi@yahoo.com,+92-341-5101758,1991-11-16,Other,Widowed,Secondary,768367,Occasional,2022-06-11,False
11,Yusuf,Zaidi,yusuf.zaidi@outlook.com,+92-331-8049539,1994-02-21,Other,Widowed,PhD,849005,Regular,2022-05-17,True
12,Ali,Raza,ali.raza@hotmail.com,+92-322-5609266,2003-10-04,M,Widowed,Other,977933,Regular,2025-06-20,True
13,Maryam,Jafri,maryam.jafri@yahoo.com,+92-325-3051091,1995-01-08,Other,Single,Bachelor,3195706,Premium,2022-12-15,True
14,Zain,Ali,zain.ali@gmail.com,+92-328-8199255,1989-04-27,Other,Divorced,Higher Secondary,323493,Occasional,2023-02-04,True
15,Mariam,Naeem,mariam.naeem@outlook.com,+92-312-4901412,1954-08-12,M,Single,Other,1405530,Regular,2023-02-02,True
16,Zara,Qureshi,zara.qureshi@gmail.com,+92-330-8934918,2005-05-09,M,Single,PhD,1236370,Regular,2025-02-07,False
17,Yusuf,Qureshi,yusuf.qureshi@outlook.com,+92-330-7024396,1988-07-17,F,Divorced,Bachelor,1271634,Regular,2022-06-04,True
18,Zayan,Siddiqui,zayan.siddiqui@yahoo.com,+92-322-4504672,1977-08-19,F,Married,Higher Secondary,1036270,Regular,2024-12-12,True
19,Abdullah,Qureshi,abdullah.qureshi@yahoo.com,+92-309-4724475,1989-11-20,F,Widowed,PhD,1046759,Regular,2023-07-08,True
20,Sumaya,Rashid,sumaya.rashid@outlook.com,+92-314-7103801,1964-10-18,M,Married,Bachelor,584390,Occasional,2022-08-21,False
21,Umar,Zaidi,umar.zaidi@yahoo.com,+92-337-2098646,2001-09-02,M,Widowed,Primary,582874,Occasional,2021-07-18,True
22,Arham,Ali,arham.ali@gmail.com,+92-340-5815098,2006-05-24,F,Widowed,PhD,280529,Occasional,2023-06-17,True
23,Noor,Naqvi,noor.naqvi@outlook.com,+92-316-9542781,1951-05-14,F,Widowed,Higher Secondary,505309,Regular,2022-05-07,True
24,Amina,Ahmed,amina.ahmed@outlook.com,+92-347-6102714,1990-04-12,F,Married,Secondary,588189,Regular,2021-04-23,True
25,Arham,Farooq,arham.farooq@gmail.com,+92-327-1156018,1951-02-21,Other,Single,Master,742965,Regular,2022-01-13,True
26,Hania,Shah,hania.shah@outlook.com,+92-323-1981728,1999-05-28,F,Single,Bachelor,2573062,Premium,2024-10-19,True
27,Fatima,Rehman,fatima.rehman@gmail.com,+92-306-9636974,1988-08-07,M,Widowed,Other,714771,Occasional,2024-08-03,True
28,Zayan,Raza,zayan.raza@gmail.com,+92-310-5149562,1956-06-01,Other,Married,Bachelor,11286552,VIP,2024-03-30,True
29,Hassan,Rashid,hassan.rashid@gmail.com,+92-318-9225040,1961-05-25,M,Single,Master,1319083,Regular,2023-07-20,True
30,Sumaya,Rehman,sumaya.rehman@gmail.com,+92-341-9906289,1969-01-04,M,Married,PhD,386506,Occasional,2021-09-25,True
31,Hussein,Saleem,hussein.saleem@yahoo.com,+92-322-3796789,1997-06-14,F,Divorced,Master,723085,Occasional,2024-11-25,False
32,Nida,Hassan,nida.hassan@hotmail.com,+92-349-7060027,1955-05-15,M,Married,Higher Secondary,1486872,Regular,2023-09-12,True
33,Sana,Hassan,sana.hassan@outlook.com,+92-323-5160389,1954-09-15,M,Widowed,Secondary,568722,Regular,2021-04-06,True
34,Khadija,Farooq,khadija.farooq@gmail.com,+92-337-8090338,1978-07-06,Other,Single,PhD,531379,Regular,2024-01-09,True
35,Ayan,Saleem,ayan.saleem@outlook.com,+92-328-9731839,1954-02-17,M,Divorced,Master,642097,Occasional,2022-09-19,True
36,Arham,Naeem,arham.naeem@outlook.com,+92-329-5223610,1971-06-24,M,Single,Other,920397,Regular,2024-05-08,False
37,Mariam,Siddiqui,mariam.siddiqui@gmail.com,+92-325-1485551,1965-05-13,F,Married,Higher Secondary,2523989,Premium,2023-07-23,False
38,Sana,Zaidi,sana.zaidi@outlook.com,+92-314-2235520,1977-01-26,F,Married,Higher Secondary,1200502,Regular,2023-05-24,True
39,Haris,Rehman,haris.rehman@outlook.com,+92-329-9302184,1979-01-10,Other,Single,PhD,1054096,Regular,2022-02-28,True
40,Yusuf,Khalid,yusuf.khalid@hotmail.com,+92-345-5977960,1993-05-28,F,Single,Primary,744398,Regular,2022-04-01,False
41,Alina,Rashid,alina.rashid@gmail.com,+92-322-9149552,1964-09-17,M,Single,Master,672391,Regular,2025-04-03,True
42,Mariam,Rashid,mariam.rashid@hotmail.com,+92-318-5119636,1954-01-05,M,Divorced,Master,3903243,Premium,2025-01-11,True
43,Ayan,Ahmed,ayan.ahmed@outlook.com,+92-342-3507116,2001-12-03,Other,Single,Primary,10726108,VIP,2024-09-17,False
44,Zain,Rizwan,zain.rizwan@yahoo.com,+92-310-6505780,1969-07-23,F,Married,Higher Secondary,12706671,VIP,2023-01-03,True
45,Ahmed,Nadeem,ahmed.nadeem@gmail.com,+92-323-8170780,1996-03-03,M,Married,Primary,888486,Regular,2025-01-19,True
46,Shahzad,Rizwan,shahzad.rizwan@gmail.com,+92-328-1032494,1971-01-09,Other,Widowed,Bachelor,336944,Occasional,2021-12-11,True
47,Nida,Tariq,nida.tariq@gmail.com,+92-341-2769531,1982-01-02,M,Married,Master,784839,Regular,2024-10-21,True
48,Noor,Iqbal,noor.iqbal@outlook.com,+92-303-6035421,1993-08-04,F,Divorced,Primary,7083479,VIP,2024-07-07,True
49,Hassan,Khan,hassan.khan@gmail.com,+92-343-5803626,1984-01-16,M,Married,Secondary,1283724,Regular,2022-06-18,True
50,Amina,Ahmed,amina.ahmed@hotmail.com,+92-302-3012691,1974-11-26,F,Single,PhD,1266613,Regular,2023-06-04,True
51,Bilal,Naeem,bilal.naeem@gmail.com,+92-335-1128471,1976-02-13,F,Divorced,Higher Secondary,1160137,Regular,2025-03-14,True
52,Jannat,Tariq,jannat.tariq@hotmail.com,+92-315-4115227,2005-11-18,F,Widowed,Master,365715,Occasional,2022-01-04,True
53,Hamza,Abbas,hamza.abbas@hotmail.com,+92-342-5857784,1995-04-20,M,Single,Higher Secondary,703621,Regular,2022-08-21,True
54,Jannat,Hassan,jannat.hassan@gmail.com,+92-316-2837904,1998-07-03,F,Single,Bachelor,1300433,Regular,2023-06-27,True
55,Sana,Hassan,sana.hassan@gmail.com,+92-348-1727416,1990-01-10,F,Single,Master,710364,Occasional,2024-04-24,False
56,Maryam,Rashid,maryam.rashid@outlook.com,+92-345-9682733,1958-06-17,M,Divorced,Master,472101,Occasional,2023-12-30,True
57,Hassan,Zahid,hassan.zahid@hotmail.com,+92-309-9402754,1945-10-02,Other,Divorced,PhD,686556,Occasional,2024-09-10,True
58,Abdullah,Shah,abdullah.shah@hotmail.com,+92-320-5825701,1995-10-20,M,Single,Secondary,729010,Regular,2025-01-17,True
59,Nida,Zahid,nida.zahid@yahoo.com,+92-332-5726288,2006-11-06,M,Divorced,Secondary,12201659,VIP,2022-04-21,True
60,Jannat,Raza,jannat.raza@hotmail.com,+92-320-9025149,1963-04-24,Other,Single,Master,1291238,Regular,2022-04-23,False
61,Sana,Abbas,sana.abbas@yahoo.com,+92-329-9134121,1954-02-28,Other,Divorced,Master,4441284,Premium,2020-11-17,True
62,Nida,Iqbal,nida.iqbal@hotmail.com,+92-302-2488165,1980-01-10,Other,Single,Master,634651,Occasional,2023-05-02,False
63,Zain,Saleem,zain.saleem@outlook.com,+92-339-1550430,1973-05-05,M,Divorced,Secondary,567187,Regular,2025-03-25,True
64,Shahzad,Shah,shahzad.shah@gmail.com,+92-302-7248425,1963-10-22,M,Widowed,Master,3253347,Premium,2023-02-02,True
65,Ayan,Rehman,ayan.rehman@hotmail.com,+92-333-1393888,1958-05-18,Other,Widowed,Primary,1157969,Regular,2024-01-10,False
66,Zara,Rizvi,zara.rizvi@outlook.com,+92-301-6040496,2006-06-16,M,Divorced,Higher Secondary,1147821,Regular,2021-08-02,False
67,Sana,Khan,sana.khan@yahoo.com,+92-301-2367536,1988-04-27,F,Single,Secondary,470269,Occasional,2024-07-11,True
68,Hafsa,Rashid,hafsa.rashid@gmail.com,+92-305-8247198,1987-07-08,M,Widowed,Secondary,1057490,Regular,2024-08-08,True
69,Aisha,Shah,aisha.shah@gmail.com,+92-342-7709118,1979-02-11,F,Single,Higher Secondary,262562,Occasional,2024-02-26,True
70,Hamza,Khalid,hamza.khalid@outlook.com,+92-315-4256914,1963-10-11,M,Married,Other,3796361,Premium,2021-08-21,True
71,Nida,Hussain,nida.hussain@yahoo.com,+92-331-6791368,1975-03-12,Other,Single,Other,1461415,Regular,2022-02-04,True
72,Abdullah,Ali,abdullah.ali@hotmail.com,+92-316-4164973,1945-10-23,Other,Widowed,Higher Secondary,1256912,Regular,2020-11-01,True
73,Rayyan,Tariq,rayyan.tariq@outlook.com,+92-349-9625587,1995-08-08,F,Widowed,Other,1061183,Regular,2025-07-18,True
74,Sadia,Jafri,sadia.jafri@hotmail.com,+92-332-2500147,1955-04-01,F,Single,Secondary,345411,Occasional,2024-06-09,False
75,Noor,Iqbal,noor.iqbal@gmail.com,+92-329-8666273,1969-03-09,M,Divorced,PhD,744772,Occasional,2024-09-13,True
76,Rabia,Rehman,rabia.rehman@gmail.com,+92-330-2240126,1953-10-18,Other,Widowed,Higher Secondary,657465,Regular,2023-04-21,False
77,Muhammad,Waseem,muhammad.waseem@gmail.com,+92-331-8049959,1952-03-28,M,Married,PhD,1300584,Regular,2023-08-16,True
78,Yusuf,Jafri,yusuf.jafri@outlook.com,+92-326-3875377,1987-07-09,F,Widowed,PhD,511819,Occasional,2021-03-17,False
79,Rayyan,Khalid,rayyan.khalid@yahoo.com,+92-310-4461749,1960-04-24,M,Widowed,Other,1489669,Regular,2020-11-23,True
80,Mariam,Qureshi,mariam.qureshi@gmail.com,+92-326-7520214,1989-01-05,M,Single,Secondary,764657,Occasional,2024-01-20,True
81,Sana,Hussain,sana.hussain@yahoo.com,+92-321-7668740,1972-04-14,F,Divorced,Bachelor,1222618,Regular,2023-05-07,True
82,Usman,Tariq,usman.tariq@hotmail.com,+92-321-3453568,1954-12-03,F,Single,Other,405524,Occasional,2022-07-19,True
83,Amina,Qureshi,amina.qureshi@hotmail.com,+92-301-1112630,2000-09-15,F,Married,Primary,1093719,Regular,2022-04-27,True
84,Ayan,Shah,ayan.shah@hotmail.com,+92-327-9234812,1980-07-18,Other,Divorced,Other,844519,Regular,2021-01-21,False
85,Ayesha,Nadeem,ayesha.nadeem@yahoo.com,+92-302-9821082,1985-12-04,F,Divorced,Other,851279,Regular,2025-07-08,True
86,Sadia,Nadeem,sadia.nadeem@yahoo.com,+92-327-8414887,1957-03-28,Other,Single,Primary,1452412,Regular,2022-01-31,True
87,Zain,Khan,zain.khan@hotmail.com,+92-318-6582488,1946-08-01,M,Single,Secondary,1429903,Regular,2022-08-01,True
88,Rayyan,Nadeem,rayyan.nadeem@gmail.com,+92-336-7369300,1993-08-15,Other,Divorced,Primary,1294248,Regular,2021-06-01,True
89,Ali,Malik,ali.malik@yahoo.com,+92-315-2993804,1995-08-01,F,Widowed,Secondary,354128,Occasional,2022-12-18,True
90,Khadija,Ali,khadija.ali@outlook.com,+92-335-6702290,1971-04-26,F,Single,Master,4924013,Premium,2022-07-22,True
91,Ahmed,Jafri,ahmed.jafri@yahoo.com,+92-300-5347890,1948-03-28,F,Single,Higher Secondary,1453495,Regular,2024-10-11,True
92,Hussein,Qureshi,hussein.qureshi@gmail.com,+92-320-9332612,1995-12-24,F,Single,PhD,1238876,Regular,2022-04-18,False
93,Bilal,Rashid,bilal.rashid@gmail.com,+92-301-9031937,2001-05-16,F,Divorced,Master,1480604,Regular,2025-08-23,False
94,Zain,Saeed,zain.saeed@gmail.com,+92-331-6479824,1993-05-13,Other,Single,Other,615852,Occasional,2023-05-26,True
95,Abdullah,Zahid,abdullah.zahid@yahoo.com,+92-312-4708718,1953-09-07,M,Married,PhD,3555492,Premium,2025-02-27,True
96,Sana,Hassan,sana.hassan@outlook.com,+92-336-7467170,1976-08-28,M,Married,Other,620691,Regular,2025-03-20,True
