EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,HIRE_DATE,JOB_TITLE,DEPARTMENT,STORE_ID,MANAGER_ID,SALARY,IS_ACTIVE
1,Maryam,Rizwan,maryam.rizwan@company.com,+92-323-2136283,2020-11-03,Cashier,Sales,14,,34904,True
2,Sana,Khalid,sana.khalid@company.com,+92-323-6574196,2022-02-21,Sales Associate,Customer Service,73,214.0,49429,True
3,Hassan,Hussain,hassan.hussain@company.com,+92-327-7953934,2022-11-10,Supervisor,Customer Service,61,225.0,87608,False
4,Zara,Naeem,zara.naeem@company.com,+92-316-4251433,2023-02-21,Customer Service,Sales,44,,37164,False
5,Arham,Ahmed,arham.ahmed@company.com,+92-314-8796926,2022-04-30,Cashier,Operations,9,,53613,False
6,Yusuf,Hashmi,yusuf.hashmi@company.com,+92-326-3939064,2024-01-08,Manager,Management,60,,93881,True
7,Maryam,Rizwan,maryam.rizwan@company.com,+92-315-3637357,2022-10-22,Supervisor,Management,75,,60996,True
8,Hussein,Nadeem,hussein.nadeem@company.com,+92-308-3320990,2021-12-31,Cashier,Sales,23,,55478,False
9,Ayan,Rizvi,ayan.rizvi@company.com,+92-342-9167176,2024-04-27,Customer Service,Customer Service,67,275.0,44760,True
10,Abdullah,Siddiqui,abdullah.siddiqui@company.com,+92-300-7948440,2024-03-29,Supervisor,Operations,5,,63060,True
11,Hamza,Raza,hamza.raza@company.com,+92-341-5116316,2025-06-24,Sales Associate,Management,70,,43731,True
12,Sadia,Shah,sadia.shah@company.com,+92-308-7133272,2025-08-10,Manager,Operations,31,,91550,False
13,Khadija,Hussain,khadija.hussain@company.com,+92-323-6359206,2021-11-15,Cashier,Operations,70,,57160,False
14,Umar,Raza,umar.raza@company.com,+92-300-7877839,2021-09-22,Sales Associate,Inventory,41,,37607,True
15,Nida,Zahid,nida.zahid@company.com,+92-332-7934451,2022-04-19,Manager,Management,33,,139423,True
16,Hafsa,Akhtar,hafsa.akhtar@company.com,+92-346-9399030,2024-09-01,Supervisor,Sales,46,,67237,False
17,Umar,Qureshi,umar.qureshi@company.com,+92-346-6556680,2022-07-17,Manager,Customer Service,51,,144125,True
18,Mariam,Akhtar,mariam.akhtar@company.com,+92-325-4714719,2024-01-15,Manager,Inventory,35,,80833,False
19,Aisha,Saeed,aisha.saeed@company.com,+92-312-7349732,2023-08-14,Sales Associate,Operations,70,6.0,52913,True
20,Haris,Ali,haris.ali@company.com,+92-306-1677983,2024-02-11,Cashier,Management,41,,33911,True
21,Jannat,Naeem,jannat.naeem@company.com,+92-310-5705718,2021-07-18,Stock Clerk,Management,25,,37039,True
22,Nida,Waseem,nida.waseem@company.com,+92-307-1264939,2023-11-27,Cashier,Sales,1,,40700,True
23,Bilal,Rizwan,bilal.rizwan@company.com,+92-320-8683966,2025-01-16,Manager,Operations,2,,90416,False
24,Hussein,Hashmi,hussein.hashmi@company.com,+92-302-3996270,2025-07-22,Supervisor,Customer Service,63,63.0,70835,True
25,Ahmed,Hashmi,ahmed.hashmi@company.com,+92-300-7422641,2023-10-28,Sales Associate,Sales,31,231.0,47913,False
26,Hussein,Naeem,hussein.naeem@company.com,+92-320-3136481,2024-09-12,Sales Associate,Sales,23,,33540,True
27,Sadia,Akhtar,sadia.akhtar@company.com,+92-301-7981362,2024-04-02,Cashier,Sales,53,,45223,False
28,Abdullah,Rehman,abdullah.rehman@company.com,+92-335-5441604,2024-09-14,Manager,Inventory,70,,102322,True
29,Rabia,Hassan,rabia.hassan@company.com,+92-323-7979590,2021-07-05,Customer Service,Sales,52,,37650,True
30,Amaan,Saeed,amaan.saeed@company.com,+92-321-1249177,2023-08-01,Cashier,Customer Service,48,,40894,False
31,Khadija,Akhtar,khadija.akhtar@company.com,+92-349-2428140,2022-06-23,Sales Associate,Sales,45,202.0,39789,True
32,Muhammad,Farooq,muhammad.farooq@company.com,+92-306-5114739,2023-02-01,Cashier,Operations,40,,42492,True
33,Sumaya,Saeed,sumaya.saeed@company.com,+92-338-7008619,2021-07-22,Supervisor,Inventory,75,,68874,True
34,Ali,Raza,ali.raza@company.com,+92-312-9519633,2021-08-26,Customer Service,Operations,55,,59546,True
35,Maryam,Hussain,maryam.hussain@company.com,+92-345-8055041,2024-04-26,Customer Service,Inventory,54,,38472,True
36,Hania,Khalid,hania.khalid@company.com,+92-319-7020730,2021-10-30,Manager,Sales,41,,141164,True
37,Ahmed,Ali,ahmed.ali@company.com,+92-310-1865738,2023-07-27,Customer Service,Operations,55,,32747,True
38,Ali,Ahmed,ali.ahmed@company.com,+92-318-6570737,2022-11-13,Stock Clerk,Sales,2,,56925,False
39,Sana,Raza,sana.raza@company.com,+92-308-9216490,2024-08-03,Supervisor,Inventory,54,,81549,False
40,Amaan,Zaidi,amaan.zaidi@company.com,+92-337-2568249,2021-07-09,Customer Service,Customer Service,15,,32748,False
41,Alina,Rizwan,alina.rizwan@company.com,+92-309-9463658,2020-11-09,Customer Service,Operations,1,,36960,True
42,Ayan,Hashmi,ayan.hashmi@company.com,+92-312-3380021,2023-08-01,Stock Clerk,Customer Service,14,,45323,True
43,Hania,Saeed,hania.saeed@company.com,+92-329-2333421,2022-08-31,Manager,Management,15,,149187,True
44,Usman,Tariq,usman.tariq@company.com,+92-316-9101154,2022-06-23,Sales Associate,Inventory,51,,51481,True
45,Alina,Abbas,alina.abbas@company.com,+92-313-4451999,2022-01-27,Customer Service,Sales,25,276.0,48305,True
46,Rayyan,Ahmed,rayyan.ahmed@company.com,+92-347-6622618,2024-07-29,Customer Service,Management,36,,57669,True
47,Mariam,Rashid,mariam.rashid@company.com,+92-336-5400963,2021-01-09,Stock Clerk,Management,55,,51919,True
48,Muhammad,Naqvi,muhammad.naqvi@company.com,+92-306-3463939,2020-11-16,Customer Service,Sales,17,,50200,True
49,Rabia,Zahid,rabia.zahid@company.com,+92-320-1758158,2022-08-10,Supervisor,Operations,67,,73194,True
50,Usman,Khan,usman.khan@company.com,+92-338-9825562,2021-03-21,Cashier,Management,69,290.0,58421,False
51,Sana,Rashid,sana.rashid@company.com,+92-343-1205791,2023-01-04,Customer Service,Management,62,,30541,True
52,Rabia,Iqbal,rabia.iqbal@company.com,+92-305-4737722,2025-04-13,Supervisor,Operations,32,,94596,True
53,Ibrahim,Saeed,ibrahim.saeed@company.com,+92-335-3145958,2022-06-06,Customer Service,Customer Service,18,283.0,44545,True
54,Haris,Khan,haris.khan@company.com,+92-348-1684004,2023-10-30,Sales Associate,Management,33,,40004,True
55,Hania,Khalid,hania.khalid@company.com,+92-330-6033840,2024-03-16,Supervisor,Inventory,36,36.0,97947,False
56,Mariam,Ahmed,mariam.ahmed@company.com,+92-330-1053070,2021-10-28,Sales Associate,Customer Service,24,87.0,55488,True
57,Zoya,Ahmed,zoya.ahmed@company.com,+92-311-9072211,2022-08-18,Stock Clerk,Customer Service,5,,33685,True
58,Amina,Raza,amina.raza@company.com,+92-303-3677400,2024-09-02,Supervisor,Management,6,127.0,66746,True
59,Ali,Abbas,ali.abbas@company.com,+92-315-1415058,2023-01-06,Customer Service,Customer Service,69,,58573,True
60,Arham,Raza,arham.raza@company.com,+92-319-2303980,2021-10-15,Manager,Operations,45,,125107,True
61,Hafsa,Raza,hafsa.raza@company.com,+92-334-3476696,2024-09-18,Supervisor,Inventory,19,,66804,True
62,Sumaya,Rizvi,sumaya.rizvi@company.com,+92-344-3646840,2020-11-07,Stock Clerk,Operations,57,,39936,False
63,Umar,Shah,umar.shah@company.com,+92-312-3088746,2024-11-30,Manager,Operations,69,,98147,True
64,Ahmed,Rehman,ahmed.rehman@company.com,+92-343-6734369,2024-07-23,Supervisor,Operations,32,248.0,64709,False
65,Hafsa,Hussain,hafsa.hussain@company.com,+92-323-8278009,2023-10-19,Cashier,Customer Service,41,283.0,47743,True
66,Hussein,Jafri,hussein.jafri@company.com,+92-316-3870336,2022-09-28,Cashier,Management,13,,53388,False
67,Yusuf,Naeem,yusuf.naeem@company.com,+92-300-1711997,2025-03-05,Sales Associate,Management,39,,55915,True
68,Usman,Raza,usman.raza@company.com,+92-320-3875672,2025-03-21,Manager,Sales,67,,88373,True
69,Alina,Nadeem,alina.nadeem@company.com,+92-332-4796629,2022-01-15,Cashier,Customer Service,24,,47401,True
70,Hassan,Khan,hassan.khan@company.com,+92-347-7721817,2024-02-26,Manager,Sales,45,,120941,True
71,Alina,Malik,alina.malik@company.com,+92-302-7922299,2022-02-27,Supervisor,Customer Service,42,,89311,True
72,Sadia,Abbas,sadia.abbas@company.com,+92-337-3666954,2022-08-17,Sales Associate,Inventory,36,,41517,False
73,Rabia,Zahid,rabia.zahid@company.com,+92-301-4646903,2022-10-10,Customer Service,Customer Service,63,,39856,False
74,Ayan,Raza,ayan.raza@company.com,+92-321-5485019,2021-01-01,Cashier,Inventory,61,,54455,False
75,Rayyan,Waseem,rayyan.waseem@company.com,+92-334-4126365,2021-12-22,Manager,Inventory,11,,86581,True
76,Ayan,Jafri,ayan.jafri@company.com,+92-300-6924064,2021-12-09,Supervisor,Management,4,,70074,True
77,Zayan,Khalid,zayan.khalid@company.com,+92-346-3279067,2023-03-01,Supervisor,Inventory,46,222.0,82501,True
78,Nida,Malik,nida.malik@company.com,+92-321-5586998,2024-07-28,Manager,Sales,31,,148211,True
79,Sadia,Hashmi,sadia.hashmi@company.com,+92-346-5184731,2024-03-17,Cashier,Inventory,52,,33137,True
80,Sana,Jafri,sana.jafri@company.com,+92-329-1069370,2025-08-06,Manager,Operations,40,,107869,True
81,Shahzad,Rehman,shahzad.rehman@company.com,+92-335-3026703,2023-03-30,Stock Clerk,Operations,73,,58630,True
82,Ayan,Akhtar,ayan.akhtar@company.com,+92-314-9857846,2021-04-16,Supervisor,Inventory,49,202.0,88714,True
83,Ayesha,Malik,ayesha.malik@company.com,+92-335-6073831,2023-01-04,Cashier,Operations,26,78.0,58423,True
84,Rayyan,Shah,rayyan.shah@company.com,+92-300-9518275,2021-07-13,Manager,Customer Service,34,,115276,True
85,Hassan,Raza,hassan.raza@company.com,+92-302-8548102,2024-02-28,Manager,Sales,62,,108501,True
86,Umar,Khan,umar.khan@company.com,+92-344-6141251,2024-11-21,Stock Clerk,Operations,51,,48159,True
87,Sadia,Naqvi,sadia.naqvi@company.com,+92-344-4710693,2024-09-03,Manager,Customer Service,50,,98817,False
88,Sadia,Shah,sadia.shah@company.com,+92-337-1322125,2024-02-19,Manager,Customer Service,51,,115628,True
89,Hassan,Zaidi,hassan.zaidi@company.com,+92-347-7092972,2023-05-29,Cashier,Sales,9,,30935,True
90,Usman,Raza,usman.raza@company.com,+92-339-6097519,2022-02-10,Stock Clerk,Customer Service,56,15.0,57843,True
91,Ayan,Khalid,ayan.khalid@company.com,+92-326-9446142,2023-04-13,Stock Clerk,Operations,23,,32168,True
92,Ayesha,Siddiqui,ayesha.siddiqui@company.com,+92-314-4590687,2021-05-16,Stock Clerk,Inventory,6,,55662,True
93,Zain,Tariq,zain.tariq@company.com,+92-338-5171459,2023-11-13,Supervisor,Sales,17,87.0,61277,True
94,Amaan,Abbas,amaan.abbas@company.com,+92-321-7731610,2023-05-13,Supervisor,Customer Service,47,,87959,True
95,Rabia,Nadeem,rabia.nadeem@company.com,+92-323-4602372,2021-03-09,Stock Clerk,Management,27,,56990,False
96,Mahnoor,Rashid,mahnoor.rashid@company.com,+92-338-3690490,2023-05-04,Manager,Operations,59,,92676,True
97,Rabia,Ali,rabia.ali@company.com,+92-336-9464530,2024-01-13,Manager,Operations,14,,139006,False
98,Khadija,Malik,khadija.malik@company.com,+92-310-8449906,2021-05-29,Sales Associate,Sales,75,43.0,53034,False
99,Ibrahim,Raza,ibrahim.raza@company.com,+92-319-3838023,2022-07-23,Customer Service,Sales,47,,47853,True
100,Haris,Ali,haris.ali@company.com,+92-313-9525761,2025-01-01,Supervisor,Inventory,18,,81782,True
101,Rabia,Rizwan,rabia.rizwan@company.com,+92-339-1291162,2020-09-05,Customer Service,Operations,62,,30616,False
102,Sumaya,Hassan,sumaya.hassan@company.com,+92-335-5532803,2024-02-05,Cashier,Sales,24,6.0,58011,True
103,Amaan,Jafri,amaan.jafri@company.com,+92-339-1888988,2024-01-18,Stock Clerk,Inventory,66,17.0,59061,True
104,Ayan,Ali,ayan.ali@company.com,+92-313-4774450,2022-12-10,Stock Clerk,Management,7,,50858,True
105,Hassan,Farooq,hassan.farooq@company.com,+92-334-6845467,2020-11-29,Customer Service,Management,61,,48868,False
106,Jannat,Qureshi,jannat.qureshi@company.com,+92-306-5923740,2023-04-29,Supervisor,Operations,73,,93808,True
107,Jannat,Khan,jannat.khan@company.com,+92-318-4337060,2021-10-14,Stock Clerk,Operations,43,15.0,45926,True
