ORDER_ID,CUSTOMER_ID,STORE_ID,EMPLOYEE_ID,ORDER_DATE,REQUIRED_DATE,SHIP_DATE,ORDER_STATUS,SHIP_METHOD,SHIPPING_ADDRESS_ID,TOTAL_AMOUNT,TAX_AMOUNT,SHIPPING_COST,DISCOUNT_AMOUNT,FINAL_AMOUNT,PAYMENT_METHOD,PAYMENT_STATUS,NOTES
1,752,32,261,2024-03-23,2024-03-27,2024-03-30,Shipped,Same Day,,459788.4,68968.26,471,56882.6,472345.07,Bank Transfer,Completed,Order placed by Zara Nadeem
2,420,15,192,2025-04-23,2025-04-28,2025-04-27,Delivered,Standard,,16203.51,2430.53,453,1088.49,17998.54,Bank Transfer,Completed,Order placed by Zara Ali
3,590,21,298,2025-01-13,2025-01-22,2025-01-18,Shipped,Standard,,186016.95,27902.54,110,27558.05,186471.44,Debit Card,Completed,Order placed by Nida Saeed
4,980,12,245,2024-03-23,2024-03-28,2024-03-30,Delivered,Same Day,,279472.92,41920.94,465,42124.08,279734.78,EasyPaisa,Completed,Order placed by Amina Rizvi
5,1729,34,84,2024-09-21,2024-09-28,2024-09-24,Shipped,Courier,,277044.37,41556.65,311,16472.63,302439.39,Debit Card,Completed,Order placed by Aisha Waseem
6,1556,3,252,2024-04-08,2024-04-19,,Pending,Express,,391854.35,58778.15,452,16928.65,434155.85,Credit Card,Pending,Order placed by Shahzad Zahid
7,962,74,128,2025-06-27,2025-07-06,2025-07-04,Shipped,Express,,254312.78,38146.92,395,19275.22,273579.48,Bank Transfer,Completed,Order placed by Zoya Zahid
8,1902,70,13,2025-07-11,2025-07-16,2025-07-14,Shipped,Same Day,,53101.81,7965.27,285,4484.19,56867.89,Debit Card,Completed,Order placed by Rayyan Zaidi
9,416,60,109,2024-01-22,2024-02-01,,Pending,Same Day,,180861.37,27129.21,68,16608.63,191449.95,Bank Transfer,Pending,Order placed by Zayan Naeem
10,1954,27,258,2025-07-23,2025-08-03,2025-07-29,Delivered,Express,,65245.75,9786.86,8,4414.25,70626.36,EasyPaisa,Completed,Order placed by Maryam Zaidi
11,179,43,161,2024-04-07,2024-04-15,,Pending,Express,,191685.82,28752.87,234,18881.18,201791.52,Bank Transfer,Pending,Order placed by Ibrahim Saleem
12,1780,32,261,2025-06-23,2025-07-05,2025-06-27,Shipped,Express,,426154.26,63923.14,283,23879.74,466480.66,JazzCash,Completed,Order placed by Ayan Rashid
13,784,26,83,2025-04-24,2025-04-28,2025-04-27,Shipped,Courier,,254708.8,38206.32,83,31379.2,261618.91,Debit Card,Completed,Order placed by Mariam Ali
14,1067,43,180,2025-08-14,2025-08-22,,Processing,Courier,,230820.81,34623.12,326,9907.19,255862.75,Bank Transfer,Pending,Order placed by Muhammad Rashid
15,1058,54,35,2024-06-06,2024-06-18,,Pending,Standard,,321891.52,48283.73,103,53527.48,316750.77,JazzCash,Pending,Order placed by Alina Siddiqui
16,1742,5,184,2024-09-14,2024-09-19,,Processing,Same Day,,223118.75,33467.81,74,31230.25,225430.32,Bank Transfer,Pending,Order placed by Ali Naeem
17,434,53,178,2024-01-21,2024-01-30,2024-01-26,Shipped,Pickup,,201505.68,30225.85,140,17933.32,213938.2,Credit Card,Completed,Order placed by Zain Abbas
18,948,64,211,2024-06-26,2024-06-30,2024-06-27,Delivered,Courier,,321486.87,48223.03,120,32323.13,337506.76,Cash,Completed,Order placed by Zayan Zaidi
19,355,8,208,2024-08-10,2024-08-11,,Processing,Pickup,,314047.2,47107.08,310,60175.8,301288.47,Cash,Pending,Order placed by Jannat Rashid
20,297,34,286,2025-03-20,2025-04-03,2025-03-24,Shipped,Courier,,132054.62,19808.19,488,11537.38,140813.44,JazzCash,Completed,Order placed by Hassan Farooq
21,475,8,186,2024-11-29,2024-12-01,2024-12-03,Delivered,Same Day,,202597.11,30389.57,455,15632.89,217808.79,Cash,Completed,Order placed by Rabia Qureshi
22,1427,6,92,2024-05-09,2024-05-13,2024-05-15,Shipped,Pickup,,97579.18,14636.88,430,4316.82,108329.24,Debit Card,Completed,Order placed by Mariam Ali
23,1572,8,230,2025-06-05,2025-06-18,2025-06-07,Shipped,Standard,,23007.88,3451.18,482,1500.12,25440.94,Credit Card,Completed,Order placed by Amaan Akhtar
24,237,46,133,2025-07-26,2025-08-03,2025-07-27,Delivered,Courier,,145245.16,21786.77,339,4469.84,162901.1,Credit Card,Completed,Order placed by Alina Khan
25,868,3,169,2025-01-16,2025-01-21,2025-01-21,Shipped,Courier,,6939.62,1040.94,88,995.38,7073.18,Mobile Banking,Completed,Order placed by Hussein Naqvi
